GeographyID Country                                            City
----------- -------------------------------------------------- --------------------------------------------------
1           UK                                                 London
2           Germany                                            Berlin
3           France                                             Paris
4           Spain                                              Madrid
5           Italy                                              Rome
6           Netherlands                                        Amsterdam
7           Belgium                                            Brussels
8           Sweden                                             Stockholm
9           Switzerland                                        Zurich
10          Austria                                            Vienna

(10 rows affected)


Completion time: 2026-05-27T23:49:21.9408748+05:30
